id,plant_id,oregon_url,oregon_description,description_fetched_at,ai_recommendations,ai_generated_at,review_status,reviewed_at,reviewed_by,review_notes,created_at,updated_at,not_found_on_oregon
e7d041f4-3b20-4b4d-acac-d2c9c023fae9,2d0029b3-4382-40c3-8647-3d573cbe29ad,https://www.oregon.gov/oda/programs/weeds/oregonnoxiousweeds/pages/default.aspx#panel-yellowflagiris,"Yellow flag is a very showy species growing 3-4 feet in height with the most vigorous growth attained in the wettest environments. The leaves are long, flattened and sword-like, typical of most iris. Large plant clumps are formed from the lateral growth of rhizomes sometimes attaining 20 feet in width. Flowers are produced on erect plant stalks with multiple flowers produced on each. Fruit capsules are large, 3-angled and up to 4 inches in length. Disk-like seeds are shed from the capsules throughout the fall and winter. Floating mats of seed can be observed in backwaters and marshes aiding dispersal.",2026-01-27T06:36:07.106Z,"{""processedAt"": ""2026-01-27T06:52:21.182Z"", ""recommendations"": [{""snippets"": [""Large plant clumps are formed from the lateral growth of rhizomes""], ""reasoning"": ""Manual botanical analysis"", ""confidence"": ""high"", ""attributeId"": ""b2ac7932-725a-4dc9-83c0-0f3df7eee41a"", ""attributeName"": ""Perennial or Fern"", ""recommendedValue"": true}]}",2026-01-27T06:52:21.182Z,pending,,,,2026-01-27T03:51:22.276Z,2026-01-27T06:52:21.182Z,f
2fd167bf-7493-49ca-bcb7-43b857bbc3fd,f7fe1141-0c50-4dc8-88d3-e90a86a6709c,https://www.oregon.gov/oda/programs/weeds/oregonnoxiousweeds/pages/default.aspx,"NOT FOUND: Plant ""Berberis thunbergii"" not found on Oregon Noxious Weeds site. Manual research needed.",2026-01-27T03:50:52.521Z,,,completed,2026-02-16T20:57:14.440Z,,,2026-01-27T03:50:52.521Z,2026-02-16T20:57:14.440Z,t
ed41038b-d17f-40ce-b711-fc3b5021a09a,60f49f52-ef19-4563-99c8-ef2a34d57c74,https://www.oregon.gov/oda/programs/weeds/oregonnoxiousweeds/pages/default.aspx,"NOT FOUND: Plant ""Berberis thunbergii"" not found on Oregon Noxious Weeds site. Manual research needed.",2026-01-27T03:50:53.119Z,,,pending,,,,2026-01-27T03:50:53.119Z,2026-01-27T03:50:53.119Z,t
ca0ba2ee-ee31-4c80-b39e-45f641e97ead,fc5263cc-c77d-4c2e-92a2-4c5d0938399a,https://www.oregon.gov/oda/programs/weeds/oregonnoxiousweeds/pages/default.aspx#panel-giantreed,"Arundo donax, a true giant in the grass family, often growing 20’ high, has devastated waterways throughout the southwestern United States. Originally planted widely for windbreaks, erosion control and an ornamental. Arundo is commercially grown in some parts of the world. Attempts to grow in the Columbia Basin as a biofuel replacement for the coal fired power plant in Boardman, OR did not prove to be economically viable; ODA is overseeing eradicated of all Arundo plants in this trial area in Morrow and Umatilla Counties.",2026-01-27T06:36:02.808Z,"{""processedAt"": ""2026-01-27T06:52:21.182Z"", ""recommendations"": [{""snippets"": [""a true giant in the grass family""], ""reasoning"": ""Manual botanical analysis"", ""confidence"": ""high"", ""attributeId"": ""1b98b0c1-f3cb-455e-89ac-a71bc256626a"", ""attributeName"": ""Graminoid"", ""recommendedValue"": true}, {""snippets"": [""growing 20' high""], ""reasoning"": ""Manual botanical analysis"", ""confidence"": ""high"", ""attributeId"": ""b2ac7932-725a-4dc9-83c0-0f3df7eee41a"", ""attributeName"": ""Perennial or Fern"", ""recommendedValue"": true}]}",2026-01-27T06:52:21.182Z,completed,2026-02-22T02:08:05.947Z,,,2026-01-27T03:50:51.931Z,2026-02-22T02:08:05.947Z,f
6d924427-1ddf-4332-8d0b-96f9d266287a,acd6f4a7-59ee-45a7-82e8-c95a789d08b0,https://www.oregon.gov/oda/programs/weeds/oregonnoxiousweeds/pages/default.aspx,"NOT FOUND: Plant ""Imperata cylindrica"" not found on Oregon Noxious Weeds site. Manual research needed.",2026-01-27T03:51:21.091Z,,,pending,,,,2026-01-27T03:51:21.091Z,2026-01-27T03:51:21.091Z,t
3aa313b2-acca-471c-b6df-ed77f11682d8,e8910eff-63e7-4b96-9a19-42e8c6286529,https://www.oregon.gov/oda/programs/weeds/oregonnoxiousweeds/pages/default.aspx,"NOT FOUND: Plant ""Paulownia tomentosa"" not found on Oregon Noxious Weeds site. Manual research needed.",2026-01-27T03:51:30.058Z,,,pending,,,,2026-01-27T03:51:30.058Z,2026-01-27T03:51:30.058Z,t
30fe9327-4691-4e4f-afcb-41c8d113f6dc,2efff8df-c63e-4388-8143-779015f17614,https://www.oregon.gov/oda/programs/weeds/oregonnoxiousweeds/pages/default.aspx,"NOT FOUND: Plant ""Populus alba"" not found on Oregon Noxious Weeds site. Manual research needed.",2026-01-27T03:51:31.244Z,,,pending,,,,2026-01-27T03:51:31.244Z,2026-01-27T03:51:31.244Z,t
7e29ae0f-4a70-4d13-8e9f-6851e0536d1e,76a72df1-427c-49ca-bc87-bf500dfef881,https://www.oregon.gov/oda/programs/weeds/oregonnoxiousweeds/pages/default.aspx,"NOT FOUND: Plant ""Salvia aethiopsis"" not found on Oregon Noxious Weeds site. Manual research needed.",2026-01-27T03:51:33.030Z,,,pending,,,,2026-01-27T03:51:33.030Z,2026-01-27T03:51:33.030Z,t
1608771a-9a3c-4246-9d8b-5af491e9fa6a,833c4a3b-87e4-4050-b8b6-e9940b14b2e4,https://www.oregon.gov/oda/programs/weeds/oregonnoxiousweeds/pages/default.aspx,"NOT FOUND: Plant ""Salvia pratensis"" not found on Oregon Noxious Weeds site. Manual research needed.",2026-01-27T03:51:33.615Z,,,pending,,,,2026-01-27T03:51:33.615Z,2026-01-27T03:51:33.615Z,t
74ed7cb0-83f1-47e0-916d-b686f49511ed,731c5977-7de3-4797-b2a2-92aeb96a3309,https://www.oregon.gov/oda/programs/weeds/oregonnoxiousweeds/pages/default.aspx,Found on Oregon Noxious Weeds list: Abutilon theophrasti. Please visit the Oregon Department of Agriculture website for full details.,2026-02-16T19:23:17.570Z,"{""processedAt"": ""2026-01-27T06:52:21.182Z"", ""recommendations"": [{""snippets"": [""Velvetleaf is an annual that blooms June through October""], ""reasoning"": ""Manual botanical analysis"", ""confidence"": ""high"", ""attributeId"": ""937ecd33-9dad-4cfb-b49c-33b28bdf3037"", ""attributeName"": ""Annual herb"", ""recommendedValue"": true}]}",2026-01-27T06:52:21.182Z,completed,2026-02-16T19:24:48.210Z,,Oregon listed noxious weed.,2026-01-27T03:50:45.494Z,2026-02-16T19:24:48.210Z,f
